,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,Location
211,multiracial,Two or More Races,2013,2013,308,Carnegie Mellon University,211440,carnegie-mellon-university,PA
212,native,American Indian or Alaska Native,2013,2013,7,Carnegie Mellon University,211440,carnegie-mellon-university,PA
213,nonresident,Non-resident Alien,2013,2013,4450,Carnegie Mellon University,211440,carnegie-mellon-university,PA
214,unknown,Unknown,2013,2013,709,Carnegie Mellon University,211440,carnegie-mellon-university,PA
215,white,White,2013,2013,3956,Carnegie Mellon University,211440,carnegie-mellon-university,PA
234,asian,Asian,2012,2012,1821,Carnegie Mellon University,211440,carnegie-mellon-university,PA
235,black,Black or African American,2012,2012,465,Carnegie Mellon University,211440,carnegie-mellon-university,PA
236,hawaiian,Native Hawaiian or Other Pacific Islanders,2012,2012,1,Carnegie Mellon University,211440,carnegie-mellon-university,PA
237,hispanic,Hispanic or Latino,2012,2012,552,Carnegie Mellon University,211440,carnegie-mellon-university,PA
238,multiracial,Two or More Races,2012,2012,273,Carnegie Mellon University,211440,carnegie-mellon-university,PA
239,native,American Indian or Alaska Native,2012,2012,9,Carnegie Mellon University,211440,carnegie-mellon-university,PA
240,nonresident,Non-resident Alien,2012,2012,3956,Carnegie Mellon University,211440,carnegie-mellon-university,PA
241,unknown,Unknown,2012,2012,776,Carnegie Mellon University,211440,carnegie-mellon-university,PA
242,white,White,2012,2012,4125,Carnegie Mellon University,211440,carnegie-mellon-university,PA
18,asian,Asian,2020,2020,10186,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
19,black,Black or African American,2020,2020,2190,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
20,hawaiian,Native Hawaiian or Other Pacific Islanders,2020,2020,31,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
21,hispanic,Hispanic or Latino,2020,2020,11796,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
22,multiracial,Two or More Races,2020,2020,1840,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
23,native,American Indian or Alaska Native,2020,2020,60,The University of Texas at Austin,228778,the-university-of-texas-at-austin,TX
